N_SQ_QU;Numéro du quartier / C_QU;C_QUINSEE;L_QU;C_AR;N_SQ_AR;PERIMETRE;SURFACE;Geometry X Y;ZIP CODE
750000029;29;7510801;Champs-Elysées;8;750000008;5480.6528696;1140253.99187045;48.86707449218534,2.3086516846813985;75008
750000053;53;7511401;Montparnasse;14;750000014;4565.13618936;1126205.40674455;48.837623095972624,2.3317838228871124;75014
750000069;69;7511801;Grandes-Carrières;18;750000018;6398.47443386;1905565.87016357;48.89257777114594,2.334363089913084;75018
750000072;72;7511804;La Chapelle;18;750000018;5261.43659644;1347544.5496766;48.89401216958227,2.3643867790293234;75018
750000019;19;7510503;Val-de-Grâce;5;750000005;3485.83135795;703631.1629235;48.84168428795318,2.343860926316007;75005
750000025;25;7510701;Saint-Thomas-d'Aquin;7;750000007;3827.25335281;826559.43678046;48.855263269373765,2.3255876525808015;75007
750000052;52;7511304;Croulebarbe;13;750000013;3289.23047985;692067.71109168;48.8337336761222,2.347673046065809;75013
750000058;58;7511502;Necker;15;750000015;5979.71146925;1578484.18990921;48.84271125032416,2.310777453639394;75015
750000077;77;7512001;Belleville;20;750000020;3738.45443205;806568.64577504;48.871531200586176,2.3875492398498044;75020
750000071;71;7511803;Goutte-d'Or;18;750000018;5176.40689459;1089225.57975143;48.89213818760239,2.3555361632962777;75018
750000014;14;7510402;Saint-Gervais;4;750000004;2678.34092334;422028.17132449;48.85571865089276,2.35816233385277;75004
750000034;34;7510902;Chaussée-d'Antin;9;750000009;3133.58009176;543441.16771129;48.87354738020909,2.3322688688697006;75009
750000056;56;7511404;Plaisance;14;750000014;5961.72119019;1784947.86756023;48.83031704260008,2.3153049315734164;75014
750000080;80;7512004;Charonne;20;750000020;6167.33826507;2090903.97517298;48.85476028303535,2.407430328235971;75020
750000070;70;7511802;Clignancourt;18;750000018;6005.52038878;1653715.16259272;48.891667591067545,2.3459787545931867;75018
750000007;7;7510203;Mail;2;750000002;2179.15360481;278142.58508411;48.868008337402735,2.344699127427459;75002
750000045;45;7511201;Bel-Air;12;750000012;18427.8222383;5970920.50253212;48.837995646121755,2.4331784419569793;75012
750000057;57;7511501;Saint-Lambert;15;750000015;6928.79207234;2829201.55405581;48.834293628369785,2.296919974448867;75015
750000003;3;7510103;Palais-Royal;1;750000001;2166.83923918;273696.79330056;48.86465997810256,2.3363089189653103;75001
750000022;22;7510602;Odéon;6;750000006;3516.31446441;716148.35103094;48.847800629292664,2.3363388275876757;75006
750000015;15;7510403;Arsenal;4;750000004;2878.55965556;487264.93707154;48.85158517502132,2.364767953873113;75004
750000049;49;7511301;Salpêtrière;13;750000013;4759.09623874;1181560.26743328;48.837405885228144,2.3633186351497164;75013
750000063;63;7511603;Porte-Dauphine;16;750000016;7447.04154604;3086718.43263253;48.87176563428237,2.2719177404675652;75016
750000042;42;7511102;Saint-Ambroise;11;750000011;4052.5677372;837992.9215673;48.86234502354469,2.3761180559189916;75011
750000050;50;7511302;Gare;13;750000013;7070.35056681;3044177.51486294;48.827527457772604,2.372397736918937;75013
750000073;73;7511901;Villette;19;750000019;5191.01882968;1285705.01238933;48.88766108880346,2.3744682121256626;75019
750000040;40;7511004;Hôpital-Saint-Louis;10;750000010;4453.17799119;883726.0024999;48.876008290020636,2.3681230178876818;75010
750000068;68;7511704;Epinettes;17;750000017;5171.70645067;1378544.9478026;48.89494265379083,2.321118743705154;75017
750000013;13;7510401;Saint-Merri;4;750000004;2346.00468675;313040.39654987;48.858521372323814,2.3516669671389723;75004
750000076;76;7511904;Combat;19;750000019;4435.27325197;1294987.89198123;48.878639075724855,2.3801272818292953;75019
750000008;8;7510204;Bonne-Nouvelle;2;750000002;2233.97603015;281448.20657677;48.867150118310704,2.350080190408817;75002
750000023;23;7510603;Notre-Dame-des-Champs;6;750000006;4559.98977263;861307.03782615;48.84642759400418,2.3273568782346064;75006
750000030;30;7510802;Faubourg-du-Roule;8;750000008;3773.67307276;796589.05165137;48.874135575605436,2.304118809721139;75008
750000044;44;7511104;Sainte-Marguerite;11;750000011;4591.31079852;929609.24169048;48.85209650698,2.388764833602562;75011
750000061;61;7511601;Auteuil;16;750000016;12452.2539307;6383887.78432144;48.85062234272691,2.2522769075380706;75016
750000026;26;7510702;Invalides;7;750000007;4434.65648913;1073733.76894888;48.858514966137854,2.316444740339917;75007
750000043;43;7511103;Roquette;11;750000011;4973.0105569;1172086.94385734;48.857064040831055,2.380364061726766;75011
750000059;59;7511503;Grenelle;15;750000015;4932.93724049;1478299.05190638;48.850171655497896,2.2918526426975774;75015
750000010;10;7510302;Enfants-Rouges;3;750000003;2139.62538775;271750.32393656;48.8638873920015,2.363123300986954;75003
750000012;12;7510304;Sainte-Avoie;3;750000003;1861.80411435;213316.35151125;48.8625572450432,2.354851518245666;75003
750000018;18;7510502;Jardin-des-Plantes;5;750000005;4052.72952079;798389.39846272;48.84194019337515,2.356893889624744;75005
750000032;32;7510804;Europe;8;750000008;4803.24276858;1182466.96498995;48.87814767585102,2.3171746113048832;75008
750000060;60;7511504;Javel;15;750000015;8068.97738509;2609009.45573145;48.839060401081596,2.2780763469189322;75015
750000064;64;7511604;Chaillot;16;750000016;5207.0464458;1424035.23620053;48.868433614454425,2.291679042741217;75016
750000066;66;7511702;Plaine de Monceaux;17;750000017;5247.3532469;1383507.69887172;48.885043691403254,2.3029098246519095;75017
750000024;24;7510604;Saint-Germain-des-Prés;6;750000006;2565.8998932;282279.93986392;48.855288719961536,2.3336568680904533;75006
750000027;27;7510703;Ecole-Militaire;7;750000007;3887.70315653;807870.76658157;48.85035926154757,2.311030936265763;75007
750000039;39;7511003;Porte-Saint-Martin;10;750000010;3245.89141305;609034.65445098;48.871244650892386,2.3615036473450113;75010
750000048;48;7511204;Quinze-Vingts;12;750000012;4509.48697389;1235915.67811719;48.84691594405351,2.374401626479206;75012
750000062;62;7511602;Muette;16;750000016;11962.438594;5477898.30048563;48.86327454383977,2.2599358317048366;75016
750000011;11;7510303;Archives;3;750000003;2534.10004151;367728.38686733;48.8591924127139,2.3632050573309633;75003
750000017;17;7510501;Saint-Victor;5;750000005;3087.21504003;604156.07289651;48.84766363545049,2.3540931533776894;75005
750000002;2;7510102;Halles;1;750000001;2606.4171283;412458.49632967;48.8622891080942,2.3448988583110206;75001
750000021;21;7510601;Monnaie;6;750000006;2391.1228183;293360.5723113;48.85438440363994,2.340035371130516;75006
750000037;37;7511001;Saint-Vincent-de-Paul;10;750000010;4072.78963288;926865.22977637;48.88073523727109,2.3574708104463653;75010
750000046;46;7511202;Picpus;12;750000012;18261.910318;7205014.42000634;48.83035924236647,2.428826815083845;75012
750000001;1;7510101;Saint-Germain-l'Auxerrois;1;750000001;5057.54947506;869000.66456395;48.860650135209916,2.3349103292802087;75001
750000078;78;7512002;Saint-Fargeau;20;750000020;5405.03643277;1486971.46267173;48.871034739091286,2.4061715301510396;75020
750000067;67;7511703;Batignolles;17;750000017;5832.69002632;1441710.87038814;48.88848151392056,2.313856169006362;75017
750000009;9;7510301;Arts-et-Métiers;3;750000003;2482.4604529;318087.74045393;48.86647028948418,2.357083131056785;75003
750000016;16;7510404;Notre-Dame;4;750000004;3283.16337082;378252.15367404;48.85289558621802,2.3527750121216777;75004
750000054;54;7511402;Parc-de-Montsouris;14;750000014;5224.26536878;1357950.39031575;48.82345277157511,2.337070179863052;75014
750000004;4;7510104;Place-Vendôme;1;750000001;2147.81760172;269456.78059945;48.86701859062769,2.328581664931251;75001
750000005;5;7510201;Gaillon;2;750000002;1866.98204093;188012.20385047;48.86930663808874,2.333431807658116;75002
750000074;74;7511902;Pont-de-Flandre;19;750000019;6397.87167647;2376238.12998783;48.89555577457172,2.384777229270243;75019
750000028;28;7510704;Gros-Caillou;7;750000007;4720.99437256;1381893.27645234;48.858299903878766,2.3015415556941905;75007
750000035;35;7510903;Faubourg-Montmartre;9;750000009;2786.54192605;417335.0806209;48.873934691758095,2.343252579473341;75009
750000038;38;7511002;Porte-Saint-Denis;10;750000010;2736.29295365;472113.59989654;48.873617660974624,2.35228289495122;75010
750000075;75;7511903;Amérique;19;750000019;6399.02208167;1835720.27493257;48.88163816729657,2.395440166623736;75019
750000006;6;7510202;Vivienne;2;750000002;2058.47295924;243550.77062341;48.86910019977128,2.339460743748331;75002
750000031;31;7510803;Madeleine;8;750000008;3791.50973543;760726.55813705;48.871265493020985,2.320053028649198;75008
750000036;36;7510904;Rochechouart;9;750000009;2862.45052541;500435.41496439;48.8798119197787,2.344861291002444;75009
750000041;41;7511101;Folie-Méricourt;11;750000011;3724.35269433;725752.4910413;48.8674031900727,2.3729648249267625;75011
750000033;33;7510901;Saint-Georges;9;750000009;3429.18833397;717091.56964335;48.879934338782526,2.332850196555468;75009
750000047;47;7511203;Bercy;12;750000012;6155.00503581;1902932.20180839;48.83520904986509,2.3862100842120193;75012
750000079;79;7512003;Père-Lachaise;20;750000020;5013.65643213;1599001.97316102;48.86371948395736,2.3952728207601153;75020
750000020;20;7510504;Sorbonne;5;750000005;2892.94406823;433197.79244055;48.84904476594306,2.34574660018725;75005
